Site,Final.Site,Address,CBSA.Name,Latitude,Longitude,n,Yrs
Seattle - Duwamish,Seattle-3,4700 East Marginal Way South,"Seattle-Tacoma-Bellevue, WA",47.55975,-122.338265,3393,2008:2009:2011:2012:2013:2014:2015:2016:2017:2018:2019:2020:2021
Seattle-10th & Weller,Seattle,10th & Weller,"Seattle-Tacoma-Bellevue, WA",47.597222,-122.319722,2402,2014:2015:2016:2017:2018:2019:2020:2021
Sidney 201,Sidney,Corner of CR 326 and State Highway 201,,47.8679,-104.676944,1420,2017:2018:2019:2020:2021
Sidney Oil Field,Sidney,Corner Cnty Roads 335 and 131,,47.803392,-104.485552,2377,2008:2009:2010:2011:2012:2013:2014:2015:2016
Spokane - Augusta Ave,Spokane,3104 E AUGUSTA AVE,"Spokane-Spokane Valley, WA",47.672482,-117.364852,2177,2009:2010:2011:2012:2013:2014:2015:2016:2017:2018:2019:2020
Spokane Valley,Spokane,"11016 E Broadway Ave. Spokane Valley, WA","Spokane-Spokane Valley, WA",47.663962,-117.257654,301,2021
Springfield - City Hall,Springfield,Springfield CITY HALL/225 N 5TH,"Eugene, OR",44.046696,-123.017704,253,2008:2009:2010:2011:2012:2013:2014:2015:2016:2017
St. Maries,St. Maries,"USFS AT 9TH AND CENTER, St. Maries, Idaho",,47.316577,-116.571281,1797,2008:2009:2010:2014:2015:2016:2017:2018:2019:2020:2021
Tacoma - L Street,Tacoma,7802 SOUTH L STREET,"Seattle-Tacoma-Bellevue, WA",47.1864,-122.4517,5149,2008:2009:2010:2011:2012:2013:2014:2015:2016:2017:2018:2019:2020:2021
Tacoma-S 36th St,Tacoma-2,1802 S 36th St,"Seattle-Tacoma-Bellevue, WA",47.22634,-122.46256,2665,2016:2017:2018:2019:2020:2021
Thompson Falls High School,Thompson Falls,Golf and Haley,MT,47.594395,-115.323746,149,2008:2009:2010:2011
Toppenish - Ward Rd (Yakama Tribe),Toppenish,"141 WARD RD., TOPPENISH, WA","Yakima, WA",46.38024,-120.33266,1539,2008:2016:2017:2018:2019:2020:2021
Tualatin Bradbury Court (Tbc) - Near Road Site,Tualatin,"6745 Bradbury Court, Tualatin, OR  (NO2 roadway site)","Portland-Vancouver-Hillsboro, OR-WA",45.393497,-122.747894,303,2015:2016:2017:2018:2019:2020:2021
Tukwila Allentown,Tukwila,"11675 44th Ave S, Tukwila, WA 98178","Seattle-Tacoma-Bellevue, WA",47.498535,-122.278385,297,2021
Minidoka National Historic Site,Twin Falls,Mnidoka National Historic Site,"Twin Falls, ID",42.68,-114.2525,1012,2016:2017:2018:2019:2020
Vancouver - 4th Pl Blvd E,Vancouver,"8205 NE FOURTH PLAIN RD, VANCOUVER, WA","Portland-Vancouver-Hillsboro, OR-WA",45.648333,-122.586944,1038,2008:2009:2010:2011:2012:2013
Vancouver-Ne 84th Ave,Vancouver,2722 NE 84th Ave,"Portland-Vancouver-Hillsboro, OR-WA",45.64336,-122.58737,1906,2015:2016:2017:2018:2019:2020:2021
Vancouver-Ne Vancouver Plaza Dr,Vancouver,8121 NE Vancouver Plaza Dr,"Portland-Vancouver-Hillsboro, OR-WA",45.64987,-122.5901,336,2013:2014
Wenatchee-Fifth St,Wenatchee,1300 Fifth Street,"Wenatchee, WA",47.43061,-120.34195,954,2013:2014:2015:2016
Yakima - 4th Ave,Yakima,402 SOUTH 4TH AVE,"Yakima, WA",46.598056,-120.499167,3477,2008:2009:2010:2011:2012:2013:2014:2015:2016:2017:2018:2019:2020:2021
